mkt_ccode,dep_airport,cancel_code,arr_airport,day_week_name,month__name,route,mkt_fl_no,date,dep_delay_time_actual,arr_delay_time_actual,mins_late_delay_code_e_carrier,mins_late_delay_code_f_weather,mins_late_delay_code_g_nas,mins_late_delay_code_h_security,mins_late_delay_code_i_late_arr_flight,delay
DL,PBI,0,ATL,Tue,Apr,PBI-ATL,2369,4/19/22,0,-16,0,0,0,0,0,0
DL,BOS,0,RDU,Fri,Mar,BOS-RDU,5785,3/11/22,-5,2,0,0,0,0,0,1
DL,SEA,0,DTW,Thu,Sep,SEA-DTW,2318,9/22/22,6,-3,0,0,0,0,0,0
DL,LAX,0,DFW,Tue,Jul,LAX-DFW,661,7/26/22,-5,-7,0,0,0,0,0,0
DL,MSP,0,MCO,Mon,Jan,MSP-MCO,1512,1/31/22,21,-16,0,0,0,0,0,0
DL,VPS,0,ATL,Mon,Feb,VPS-ATL,2430,2/14/22,2,-19,0,0,0,0,0,0
DL,ATL,0,CHA,Sat,Jun,ATL-CHA,2668,6/25/22,1,-10,0,0,0,0,0,0
DL,MEM,0,LGA,Sat,Mar,MEM-LGA,4691,3/12/22,3,23,0,0,23,0,0,1
DL,CLE,0,ATL,Fri,Apr,CLE-ATL,2218,4/22/22,-5,-11,0,0,0,0,0,0
DL,RDU,0,LGA,Thu,May,RDU-LGA,1537,5/19/22,-2,9,0,0,0,0,0,1
DL,ATL,0,PDX,Tue,Jul,ATL-PDX,404,7/5/22,-1,-18,0,0,0,0,0,0
DL,DTW,0,BOS,Fri,Jan,DTW-BOS,997,1/7/22,101,103,101,0,2,0,0,1
DL,SEA,0,DEN,Mon,Jun,SEA-DEN,3847,6/27/22,-4,3,0,0,0,0,0,1
DL,DAL,0,ATL,Sun,Apr,DAL-ATL,1287,4/24/22,-3,-16,0,0,0,0,0,0
DL,BOS,B,JFK,Fri,Feb,BOS-JFK,5697,2/4/22,0,0,0,0,0,0,0,0
DL,ATL,0,LGA,Thu,Jan,ATL-LGA,446,1/6/22,0,-21,0,0,0,0,0,0
DL,BTM,0,SLC,Thu,Feb,BTM-SLC,4272,2/10/22,-10,-3,0,0,0,0,0,0
DL,DTW,0,BOS,Wed,Aug,DTW-BOS,2258,8/31/22,3,-3,0,0,0,0,0,0
DL,LAX,0,LAS,Thu,Jun,LAX-LAS,3805,6/2/22,-7,-16,0,0,0,0,0,0
DL,LAX,0,DTW,Wed,Feb,LAX-DTW,1339,2/9/22,172,169,169,0,0,0,0,1
DL,MQT,0,DTW,Sun,Jan,MQT-DTW,4330,1/2/22,93,104,104,0,0,0,0,1
DL,GNV,0,ATL,Tue,Mar,GNV-ATL,346,3/8/22,-2,-17,0,0,0,0,0,0
DL,BOI,0,SLC,Wed,Feb,BOI-SLC,2690,2/23/22,-8,-17,0,0,0,0,0,0
DL,BOS,0,SLC,Wed,Sep,BOS-SLC,738,9/7/22,-13,-53,0,0,0,0,0,0
DL,MSP,0,FSD,Sat,Feb,MSP-FSD,966,2/12/22,-2,-4,0,0,0,0,0,0
DL,SLC,0,MSO,Wed,Jun,SLC-MSO,3732,6/22/22,131,106,106,0,0,0,0,1
DL,LGA,0,GSO,Fri,Jan,LGA-GSO,5164,1/21/22,20,28,20,0,8,0,0,1
DL,ATL,0,PHL,Thu,Sep,ATL-PHL,1551,9/1/22,-1,-11,0,0,0,0,0,0
DL,SEA,0,DEN,Sun,Sep,SEA-DEN,3703,9/11/22,0,-3,0,0,0,0,0,0
DL,HIB,0,MSP,Sat,May,HIB-MSP,4259,5/7/22,-2,-13,0,0,0,0,0,0
DL,IND,0,ATL,Wed,Feb,IND-ATL,2364,2/9/22,-1,-22,0,0,0,0,0,0
DL,ATL,0,IAH,Mon,Jun,ATL-IAH,1324,6/6/22,-1,-13,0,0,0,0,0,0
DL,TLH,0,ATL,Sat,Aug,TLH-ATL,1402,8/20/22,-8,-8,0,0,0,0,0,0
